oppId,updateId,findingBlock,pathId,amountIn,predictedNetProfit,predictedGrossProfit,predictedGas,txHash,internalError,executionTime
1080253I00885,1080253P47f1f7f6232906996cfd34445972afd0,1080253,I00885,27019097453609101154,69041451327451797,157241451327451797,392000,,VM Exception while processing transaction: revert Not profitable,
1080254I00885,1080254P24e9141e2aca7569a7c85040ba4ee11e,1080254,I00885,27019097453609101154,69041451327451797,157241451327451797,392000,,VM Exception while processing transaction: revert Not profitable,
1080258I00885,1080258P4b1721d09c3b27e2c828f05265b7d548,1080258,I00885,27019097453609101154,69041451327451797,157241451327451797,392000,,VM Exception while processing transaction: revert Not profitable,
1080261I00885,1080261P00fdf52582ebc20e564c6606e7c69d93,1080261,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080267I00885,1080267Pc9b817a2d82e42c9c49ba1772334db09,1080267,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080269I00885,1080269P7427fe8b2ace7c8b23f044deb3ac75ea,1080269,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080275I00885,1080275P7427fe8b2ace7c8b23f044deb3ac75ea,1080275,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080277I00885,1080277P7427fe8b2ace7c8b23f044deb3ac75ea,1080277,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080282I00885,1080282P80819e3764cc3a09110c40b4960b4039,1080282,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080284I00885,1080284P7427fe8b2ace7c8b23f044deb3ac75ea,1080284,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080287I00885,1080287P4b1721d09c3b27e2c828f05265b7d548,1080287,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080288I00885,1080288P2c10df79856089d872726425cbd3a17c,1080288,I00885,27039000393421220396,69273199302926055,157473199302926055,392000,,VM Exception while processing transaction: revert Not profitable,
1080289I00885,1080289P00fdf52582ebc20e564c6606e7c69d93,1080289,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080290I00885,1080290P758c48aee2cec12b2fe55def24df733c,1080290,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080292I00885,1080292P758c48aee2cec12b2fe55def24df733c,1080292,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080293I00885,1080293P758c48aee2cec12b2fe55def24df733c,1080293,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080295I00885,1080295P758c48aee2cec12b2fe55def24df733c,1080295,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
