updateId,blockNumber,traderAddress,nodeIp,startTimestamp,processingTime,updatedPools,searchedPaths
1079082P26dccf436baa282c25c8e0e5e73ffb1c,1079082,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341526377,161,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079084P2735ebaf88d6af276c6648cf3e7c4b32,1079084,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341529390,153,0xEcee953e187d9e82D57bAedAaEF1e56E5283f5C3,3422
1079086P00fdf52582ebc20e564c6606e7c69d93,1079086,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341547883,161,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,3422
1079086P6378ba053f3a6ed2903b72380949d5a3,1079086,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341548044,150,0xbbC7fFF833D27264AaC8806389E02F717A5506c9,3422
1079089P4b1721d09c3b27e2c828f05265b7d548,1079089,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341580364,168,0xF54a719215622f602FCA5BF5a6509734C3574a4c,3422
1079089P90593322463a8ef1b4385bd3c28ebf29,1079089,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341580532,152,0xbfc3C72Bab7252341dC90A1E85797Ebd8C79c338,3422
1079091P96f84e4e95872759001815b55949e6b4,1079091,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341589034,158,0x45c2755EEFA0eb96cE15C2f6FDc48346DA7f3A7e,3422
1079092P5c7ec232b53781140521358bfc26865c,1079092,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341592054,151,0xD765B31399985f411A9667330764f62153b42C76,3422
1079101Pba4f4b2001c2c716ecd87de083d80d25,1079101,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341714211,173,0x494Dd9f783dAF777D3fb4303da4de795953592d0,3422
1079103P26dccf436baa282c25c8e0e5e73ffb1c,1079103,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341731202,158,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079106Pbe01166ea4be671cc69cb840ddb8e88c,1079106,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341767069,160,0xc4877C4aa3677888C0E383522fE0807680ce9a4d,3422
1079107P00fdf52582ebc20e564c6606e7c69d93,1079107,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341815620,159,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,3422
1079108Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079108,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341829685,158,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079109P26dccf436baa282c25c8e0e5e73ffb1c,1079109,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341835791,156,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079113Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079113,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341899084,159,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079114P47f1f7f6232906996cfd34445972afd0,1079114,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341940127,169,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079114P47f1f7f6232906996cfd34445972afd0,1079114,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341940296,152,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079114P47f1f7f6232906996cfd34445972afd0,1079114,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341940448,153,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079115P47f1f7f6232906996cfd34445972afd0,1079115,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341940602,152,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079115P4b1721d09c3b27e2c828f05265b7d548,1079115,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341940754,151,0xF54a719215622f602FCA5BF5a6509734C3574a4c,3422
1079115P26dccf436baa282c25c8e0e5e73ffb1c,1079115,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341940906,150,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079119P47f1f7f6232906996cfd34445972afd0,1079119,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341957253,162,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079119P4b1721d09c3b27e2c828f05265b7d548,1079119,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341957416,150,0xF54a719215622f602FCA5BF5a6509734C3574a4c,3422
1079119P4b1721d09c3b27e2c828f05265b7d548,1079119,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341957566,150,0xF54a719215622f602FCA5BF5a6509734C3574a4c,3422
1079121P5fc9d2808330416f48196e6b19aae22d,1079121,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341983343,164,0x79C1B4Ee613F29a8c0aae563Ef445317D99a6906,3422
1079123P26dccf436baa282c25c8e0e5e73ffb1c,1079123,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618341997686,158,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079124P7427fe8b2ace7c8b23f044deb3ac75ea,1079124,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342001484,162,0xa1C2c3B6b120cBd4Cec7D2371FFd4a931A134A32,3422
1079124P7427fe8b2ace7c8b23f044deb3ac75ea,1079124,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342001646,151,0xa1C2c3B6b120cBd4Cec7D2371FFd4a931A134A32,3422
1079124P26dccf436baa282c25c8e0e5e73ffb1c,1079124,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342001797,151,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
