oppId,updateId,findingBlock,pathId,amountIn,predictedNetProfit,predictedGrossProfit,predictedGas,txHash,internalError,executionTime
604bbf8f3a37a54c103554062a3c14b5,c07574b2e202eaf1fb2631b4489112e4,1079369,I01401,7584924363588392695,133177473015509111,194377473015509111,272000,,Tx submission timeout reached,
39bc15b02bb7a5d16ab0c1921a42e7ce,d628e61c333e27ba6bb07c9e68e3fcde,1079939,I04196,39423780446776674174,460065824749231185,548265824749231185,392000,,Tx submission timeout reached,
921c05b80455ec4fffb02bc5680be38e,f8f0893de7459efcc3aa8cc7c1a93683,1081314,I03485,5224830876304734415,64065634322608555,152265634322608555,392000,,Tx submission timeout reached,
5e751fa5ccabefa1f4105348184f176c,752154900f277bb036c05c2d1241cafd,1081838,I03629,35665848376329762039,202860736873789955,291060736873789955,392000,,Tx submission timeout reached,
f3316b629511df322daed040dce0914a,ee32e2d07e6f63aedab6a403a75647c1,1082036,I03730,30429469762275583359,65910143804938268,127110143804938268,272000,,Tx submission timeout reached,
f3316b629511df322daed040dce0914a,ee32e2d07e6f63aedab6a403a75647c1,1082036,I03730,30429469762275583359,65910143804938268,127110143804938268,272000,,Tx submission timeout reached,
f6188552f3efea603e7af875a6430615,c1d58e1fc286819c272e59921dc57ac4,1082276,I00644,8432136150470697080,85313224854823435,146513224854823435,272000,,Tx submission timeout reached,
38186ee631d5d58565f03cbd6d150015,3da2e5d482c4bd5116d62ab0381c8283,1082284,I04142,8459559950101608894,95892513094344870,157092513094344870,272000,,Tx submission timeout reached,
1de1c9573ba9898852535788cb5b3350,b12ec594d89f5cfbefb3502f2fdd4565,1082320,I00644,8427606659950101098,85153113309978060,146353113309978060,272000,,Tx submission timeout reached,
b94c8b381cc5cb76f2ed0bb2c37e5bdb,e2847da00d0f819686c9570c7796c9fd,1082322,I00644,8427488718740789239,85151065153024038,146351065153024038,272000,,Tx submission timeout reached,
3c9f9099f3e4952f4d35d2d658dfd613,3b430227ff480b6e0d4e842b6d28849e,1082336,I04142,7893626575760434933,75242724416261975,136442724416261975,272000,,Tx submission timeout reached,
37e1260cfb5287110e49760f2bc8bd67,1082336P90593322463a8ef1b4385bd3c28ebf29,1082336,I00644,8504163040350254967,87874108718610871,149074108718610871,272000,,Tx submission timeout reached,
812e4c46ebc12c349bed5e5f62e6ed21,312f7852daaa2664f6cf0046276de0f3,1082346,I02152,8317700534582200416,64438002075940843,152638002075940843,392000,,Tx submission timeout reached,
fd9704e67455d280f4e845b6980a7082,d02d6e22d730d7fc4187b5afc8a1e4a8,1082352,I00644,8362844411164974752,82875444774336678,144075444774336678,272000,,Tx submission timeout reached,
ed1a272f6aefcaa311a6de7ba0902c3e,545fc9018fc94b354e98f5b1d36a3195,1082380,I04142,7290071514784498139,54873150696819814,116073150696819814,272000,,Tx submission timeout reached,
75c0d763e8f7e0b6eaa9e7c3cbe2a514,4b73994b043c0a5d155e37e60818e67a,1082388,I02152,9037281403225869134,92573320825527414,180773320825527414,392000,,Tx submission timeout reached,
2ff8fc7e9841ef18aae45d58233852f7,c99cf675832ac62c83a958bbff17a2c1,1082652,I03731,28176649705977004263,161258188184099912,249458188184099912,392000,,Tx submission timeout reached,
1c61c83186b910734989e441aacac1ca,9b45d1fc40017b3432c3777048fdeb80,1083402,I03783,39420179379538185743,131971000963256879,193171000963256879,272000,,Tx submission timeout reached,
594b267c1cfea2fe5e1f0ad0a039aaad,cd4f759595b96a652979548fe72ed6b9,1083632,I03731,138427704859528289861,6049923442932527688,6138123442932527688,392000,,Tx submission timeout reached,
f09541d1283787431cae058a6f156c14,5f828c570e11109992b7439460ee47c3,1083830,I00458,26110553339505721161,66073910182874372,127273910182874372,272000,,Tx submission timeout reached,
d3918b5625a8c335d94f537e888096a7,502cc29b4aa94d566f1bafd08bbfdfe0,1079399,I03536,8500166910621075238,90431909545030965,178631909545030965,392000,0x2a514edce6f0021aa8fc9ed6469069fd7c770b4e45ca219bd214772f10a873ed,,0
27cf12bf866f6bc557f1f0f978ef8378,ffd12396c7580e4d9d4faa2d3cda86d7,1079467,I00466,105037320019686836206,150064068284964555,238264068284964555,392000,0x0eb8d83d51edb96d2f1bf45aac20d982a7f3924b86a4daa6269ef551de5071f5,,0
44da00c3db8cc8f9ff14d122d3d89803,94d2c41658ab75febdfb5ce8cd94153b,1079563,I03631,55056090779052918945,595326478701598603,683526478701598603,392000,0x353a9f837efaa531f5a05c90dcf248289c71f16e1ed244213d1a1b2c3ef10fb8,,2859
693a90a6dc3cc9b1d6340f2484d5ac8d,b1aca58b1e86129f07c2bc91e4589029,1080131,I03730,65532877921541858746,554448015663131769,615648015663131769,272000,0xe1c42f3b217c59ef3aa44ee44d6dbf1f84070a2f86a816db73374e59eee8147d,,1689
a63abd4115efca73c117ef8350adf797,cc7d9e03323bdf2d11a904cce8b8a1a8,1079971,I04196,29771143147191114155,226039744631274800,314239744631274800,392000,0xa2a01b72f4a1e65765db6eeeaaf1441953d1fa2c9b73f2ca16911dde6650e18e,,3013
35be02f32aa024253a78f2e2f3f50144,0d4ae0f82440e41a030cd50e5e59ede6,1080193,I03731,82273073734776544456,2243756471496349091,2331956471496349091,392000,0x616173b841f465ad7b4f5b0e7dd201f1f2fc3b930f6fed22d3e97d76c9576ab7,,8445
f0d66d18e93d536dca3ca949638d50de,a5eaf3ba466e8c496b89b8a9886fb480,1080209,I03730,151381724773487100534,3262216754915058093,3323416754915058093,272000,0x4ee06f75a127e5332bc2a4c9ecf8de326438569df71a5f183c9ee94857cffc79,,2776
9206600fa78362cc2fe6ff8a96a7dc9c,e0a3c933fe0f42359f946af39b8d78d1,1080832,I03731,82612533274266626906,2165437911601621717,2253637911601621717,392000,0x033a708a3dfabd7a9e0b9a7ac4b20f8b15e2cf6113024d880867b08570634c29,,3133
08e97aac9e7fdf1506138e2e2ee423db,b5d312133241f7823e4a1d0d11357621,1081304,I03536,26947906862611761795,1898727593432471731,1986927593432471731,392000,0x4c3a99be871a7c987b3ebcb87026ae04e73c3ad36b19f5e13851c36d3e8dc936,,2741
1c70119380009568af23c6d2f307d175,f20f3b5a989e8c9bddbb544c2434dcf3,1081432,I02174,74843176760486014168,353802570933621033,442002570933621033,392000,0xd5ce131551586b4d5c2d780f570a04b1fb366bbee6f38858e5b174f2c959e532,,3032
c50a40ac6356e7a6b0c5b17e531e2aa7,d4c25479e465012bb03dbde0ab867cc3,1081468,I02174,84914673785299093903,477546584133255485,565746584133255485,392000,0xcf1438b6a337de1bf2807c5810137e33e5d594a7f06eb0648ecc74184afcaf79,,7136
2cf571d1e1084ec99adc0fb577fff8de,0a4356fc9f34fe1b78f93d05409d9ab0,1080720,I03626,116884696043000907139,2642266873927746466,2730466873927746466,392000,0x6166fb9c50b428e2f1adf5a815d3273a3880f452915b4a94729d8c7e6cb98a35,,3503
328cacc38e52a33edd05f7c99d56c212,4614b816bc3651ce176688ce447be816,1081948,I03484,9655741485403920851,154342546933356175,242542546933356175,392000,0xda8839ca866e86b9399424cba3c9e0c214ce8b9d4714d53751dc24d4b36b3902,,1964
93348de4d68075bbc7b7609c96d549d1,ec345da1881275bb8e7321c63d0ef52b,1081656,I00726,25249643207023498743,52283007844563125,113483007844563125,272000,0x05365e03a267f3692265d87d162e1c14fbe20a2e77c012f035de02f2fa786bf5,,5673
91e8babfe6acd62b900813e5cf217b5c,ccfab38f6bdc64c7e08ff83dd9cbaf42,1081468,I04490,19898492765861097224,69988589860036035,158188589860036035,392000,0x5c45a77d3ae74c683d196cb9f2a552ddb4c2b400ef052e6fcc2354195fcf0753,,7173
