updateId,blockNumber,traderAddress,nodeIp,startTimestamp,processingTime,updatedPools,searchedPaths,index
2f608d28d2307ca15d7dc37c1e31775f,1079352,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343961488,112,0xfEbf47CF89F766E6c24317b17F862bA5d4d82f8c,1844,0
91151868a47febf7039b5b044381b553,1079348,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343949553,147,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,1844,0
ac2e47966fa5406e0d9b941b1532b956,1079354,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343964671,111,0x57cc32Cd7F5a531953E9af25e1C9394093428082,1722,0
56fd2c12c91fddbfc1f668cb6d46b5ae,1079354,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343964783,83,0xF54a719215622f602FCA5BF5a6509734C3574a4c,1722,1
143f6c22c5085a571a09ba991f4dccf9,1079354,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343964867,76,0xE8AcF438B10A2C09f80aEf3Ef2858F8E758C98F9,1722,2
7c0e7c7f3fddf85dc8b367c6e92bb21f,1079354,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343964944,83,0xaD786Dfe6aC4a68dd3F9a5400DdeE5DedD20d109,1722,3
6d8704e100d53f63bba5e490c0dda51d,1079355,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343965028,72,0x57cc32Cd7F5a531953E9af25e1C9394093428082,1722,0
f322bbfe88045fa6360c90bb7db5f471,1079355,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343965101,76,0xF54a719215622f602FCA5BF5a6509734C3574a4c,1722,1
0ae5c054b967526aa396ee6d9d965aa1,1079355,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618343965178,72,0xbfc3C72Bab7252341dC90A1E85797Ebd8C79c338,1722,2
c07574b2e202eaf1fb2631b4489112e4,1079369,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344041095,10131,0xD514419729A55d2615F87b074e15cD28ECa3FC9B,1844,0
a9c9bdf7bab272a1f1c68b868df28856,1079381,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344083752,139,0xF31a76d123dd6b10008F2f096AB0AafBd508A2de,1844,0
79aa34eac14ff623423c30946723e79c,1079385,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344100174,103,0x57cc32Cd7F5a531953E9af25e1C9394093428082,1844,0
c9f54ce3459d40e1ff0deb294706748a,1079393,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344135972,93,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,1844,0
502cc29b4aa94d566f1bafd08bbfdfe0,1079399,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344167019,4995,0xAc3757c2305D6d1AB30f46b9278d7946Da2B92F7,1844,0
620a13c22778b04b6b49aa8c8c6e0425,1079409,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344186411,140,0x57cc32Cd7F5a531953E9af25e1C9394093428082,1844,0
bf012ee3813b7aa93a49b2d28753f34e,1079421,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344252488,6,0x494Dd9f783dAF777D3fb4303da4de795953592d0,24,0
eb548ab4ac70b4056ab80886ef286661,1079423,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344258525,24,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,96,0
a9a70c89e6ca8e4792901b49d309a108,1079433,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344329786,7,0x57cc32Cd7F5a531953E9af25e1C9394093428082,22,0
8b3df3faabf7e9eb4c78caa0a0cb8d6f,1079439,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344372377,6,0x57cc32Cd7F5a531953E9af25e1C9394093428082,22,0
52f55811fc9295ae8c58c33df8c3b339,1079441,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344380075,6,0x92dC558cB9f8d0473391283EaD77b79b416877cA,40,0
ca2358b05b79de9c8500dcbe190132d7,1079453,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344449055,9,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,96,0
8d8ab2e0d7cdb71a915050197d77d3fb,1079457,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344471230,15,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
51b031462b2286d65b66ccc958b5ee09,1079459,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344477640,13,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,96,0
ea16654c2e3ca28fce87548b07cae06f,1079463,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344506003,12,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,96,0
de38c62daed21211d2f5de8f20da918a,1079465,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344508966,13,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,72,0
4e8136ca15213693f4e573f4b35a385f,1079469,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344514590,2,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,0,0
3d31a5df0b6e834e0fda1adecc891315,1079469,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344514596,3,0x53B37b9A6631C462d74D65d61e1c056ea9dAa637,0,1
19c3a5bcac34ccea4fc057d3b1160654,1079469,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344514600,2,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,0,2
dd22137fa44fe06a8ad7d24828dc29fe,1079471,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344516246,17,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,86,0
4440f60a23a6acbc8977e47dffe3ddab,1079471,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344516264,4,0xE8AcF438B10A2C09f80aEf3Ef2858F8E758C98F9,30,1
7537a3668b28f7b5c77118f9768a0c9e,1079471,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344516269,0,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,0,2
c7621c3ef4a098bfda96156f8bf9cd9f,1079473,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344517481,1,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,0,0
ffd12396c7580e4d9d4faa2d3cda86d7,1079467,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344514508,5038,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
6be72bc660896c14878e3446dd7b8b19,1079487,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344593221,3,0x57cc32Cd7F5a531953E9af25e1C9394093428082,22,0
f21a62182373d900cd2cca1ce3cc9589,1079487,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344593225,3,0xF54a719215622f602FCA5BF5a6509734C3574a4c,20,1
fd3c7c793cd9c5586976cc3519ef4f44,1079487,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344593229,7,0xbfc3C72Bab7252341dC90A1E85797Ebd8C79c338,96,2
76e195412a489321ba732ad6bacafea5,1079491,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344649956,4,0x92dC558cB9f8d0473391283EaD77b79b416877cA,40,0
7026e28c354643bbbeecd31c89f16b0c,1079493,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344663507,5,0xa1C2c3B6b120cBd4Cec7D2371FFd4a931A134A32,30,0
56959e195c01bd740642717f709da543,1079499,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344747269,15,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
2bc408df1676d35064e8723ad85a878f,1079499,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344747285,8,0xbbC7fFF833D27264AaC8806389E02F717A5506c9,66,1
2da1401916671c628407edf9d4a911f5,1079515,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344824402,2,0x494Dd9f783dAF777D3fb4303da4de795953592d0,24,0
da6e7dedac61e942b14de31d730e1703,1079521,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344846981,18,0x79C1B4Ee613F29a8c0aae563Ef445317D99a6906,94,0
1a749cb9b81639c10d4934fcf0f1a382,1079529,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344919183,32,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
33508031e621f7e96de9cedc32c412a3,1079531,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344928231,4,0x57cc32Cd7F5a531953E9af25e1C9394093428082,22,0
2c864dd27548772abf07401dad268bab,1079537,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344958136,16,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
2a53ba7eb03552601109aab233bd7ee6,1079541,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344973651,15,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
6d30f87db14449dd32ac6e70a5ace0d0,1079543,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618344979652,26,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
5c1c84a091252db442455b34fc701f11,1079559,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345069274,21,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
731a4c40103c8944ff4c80d987e0f391,1079561,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345075280,11,0xbbC7fFF833D27264AaC8806389E02F717A5506c9,66,0
751be4bebc24b9d24e1c164cce5a5379,1079565,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345081498,17,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,130,0
e92246e3cc06c39eeb97cb9e78fe9814,1079565,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345081516,3,0x97B4957df08E185502A0ac624F332c7f8967eE8D,8,1
b39416d8a8e44307d630e9369629df87,1079565,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345081520,3,0xa1C2c3B6b120cBd4Cec7D2371FFd4a931A134A32,0,2
94d2c41658ab75febdfb5ce8cd94153b,1079563,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345081440,5,0xa1C2c3B6b120cBd4Cec7D2371FFd4a931A134A32,30,0
a1d5f563274ae08f6e7ba03edb2595c2,1079583,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345183635,5,0x92dC558cB9f8d0473391283EaD77b79b416877cA,40,0
b41dc9305564fbf19625c54bc5eed522,1079595,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345233154,3,0xF54a719215622f602FCA5BF5a6509734C3574a4c,20,0
2839259469d7aa51d34fdcb13f8e8e9c,1079611,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345317439,14,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
75a23e24158b36b64cb2e7ad0b999f71,1079619,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345361680,2,0x1bb5541EcCdA68A352649954D4C8eCe6aD68338d,16,0
95997c80dd17ebdc7c0cb32c56b987ae,1079613,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345328606,6,0xbbC7fFF833D27264AaC8806389E02F717A5506c9,66,0
